url,text,tag
https://www.mlb.com/glossary/rules/ambidextrous-pitchers,"A pitcher must visually indicate with which hand he will use to pitch prior to the start of a plate appearance. This can be accomplished simply by wearing his glove on his non-throwing hand and placing his foot on the pitching rubber. Barring injury, he is not permitted to pitch with the other hand until the batter is retired, becomes a baserunner or is removed for a pinch-hitter.",ambidextrous-pitchers
https://www.mlb.com/glossary/rules/ambidextrous-pitchers,"The pitcher is allowed to pitch with the opposite hand mid-plate appearance should he incur an injury with the other, but he is then barred from pitching with the injured hand for the rest of the game.",ambidextrous-pitchers
https://www.mlb.com/glossary/rules/appeal-plays,The defensive team can appeal certain plays to alert the umpires of infractions that would otherwise be allowed without the appeal. Appeal plays are not the same as a manager asking the umpire for an instant-replay review.,appeal-plays
https://www.mlb.com/glossary/rules/appeal-plays,"An appeal can be made when the offensive team bats out of turn. Baserunning instances that are subject to appeal include a runner failing to tag up correctly on a caught fly ball, a runner failing to touch the bases in order -- either when advancing or retreating -- a runner failing to return to first base promptly after overrunning or oversliding it, and a runner failing to touch home plate and making no attempt to return to it.",appeal-plays
https://www.mlb.com/glossary/rules/appeal-plays,"No runner may return to touch a missed base after a following runner has scored. And when the ball is dead, no runner may return to touch a missed base after he has touched a base beyond the missed base. That means a batter who hits a ground-rule double or a homer can be called out on appeal if he misses first base and doesn't correct his error before touching second.",appeal-plays
https://www.mlb.com/glossary/rules/appeal-plays,"Appeals must be made before the next pitch or attempted play, or before the entire defensive team has left fair territory if the play in question resulted in the end of a half-inning. The appealing team must make clear their intention to appeal, either via verbal request or another act that unmistakably indicates its attempt to appeal.",appeal-plays
https://www.mlb.com/glossary/rules/balk,"A balk occurs when a pitcher makes an illegal motion on the mound that the umpire deems to be deceitful to the runner(s). As a result, any men on base are awarded the next base, and the pitch (if it was thrown in the first place) is waved off for a dead ball.",balk
https://www.mlb.com/glossary/rules/balk,"In September 2022, Major League Baseball announcedthat were approved by the league’s Competition Committee.",balk
https://www.mlb.com/glossary/rules/balk,The Pitch Time rule change stipulates the following around disengagement violations:,balk
https://www.mlb.com/glossary/rules/balk,"Exactly what constitutes a balk is summed up in section 8 of the MLB rules, which describes a legal pitching delivery.",balk
https://www.mlb.com/glossary/rules/balk,"Pitchers with high balk totals are also generally adept at picking runners off, this being because their moves to first base are typically so deceptive that they border on being illegal. Any umpire, if he notices an illegal movement by the pitcher, can call a balk.",balk
https://www.mlb.com/glossary/rules/balk,"The specific rules for balks were first introduced in 1898 to prevent pitchers from intentionally deceiving baserunners. Without balk rules, pitchers had any means of fooling baserunners, who had to act conservatively on the bases as a result.",balk
https://www.mlb.com/glossary/rules/balk,"In A Call: ""free advancement""",balk
https://www.mlb.com/glossary/rules/base-sizes,"In September 2022, Major League Baseball announcedthat were approved by the league’s Competition committee. The rules were adopted after extensive testing at the Minor League level over a several-year period and with feedback from MLB player and umpire representatives..",base-sizes
https://www.mlb.com/glossary/rules/base-sizes,"One of the rule changes covers the size of the bases, which traditionally have been 15 inches square, but will now be 18 inches square. Home plate remains unchanged.",base-sizes
https://www.mlb.com/glossary/rules/base-sizes,"Though the base-size change may have a modest impact on stolen-base success rate, the modification’s primary goal is to give players more room to operate and to avoid collisions. This is especially key at first base, where fielders will have an extra 3-inch advantage to stay out of harm’s way from the baserunner while receiving throws.",base-sizes
https://www.mlb.com/glossary/rules/base-sizes,"The change will create a 4 1/2-inch reduction in the distance between first and second base and between second base and third, which will likely encourage more stolen-base attempts. The bigger bases could also have the effect of reducing over-sliding, whereby a player loses contact with the bag after sliding through it.",base-sizes
https://www.mlb.com/glossary/rules/batters-box,"A regulation baseball field has two batter's boxes -- one on the left side and one on the right side of home plate -- drawn using the same chalk as the baselines. From the pitcher's point of view, left-handed batters stand in the batter's box on the left side of the plate and right-handed batters stand in the batter's box on the right side of the plate.",batters-box
https://www.mlb.com/glossary/rules/batters-box,"The batter is expected to promptly take his place in the batter's box when his turn to bat comes up and is not permitted to exit the box once the pitcher begins his windup or comes to the set position. The batter can request to be granted time by the umpire if the pitcher has not begun his windup or come to the set position. If his request is granted, the batter is then able to exit the box -- but not the dirt area surrounding home plate. He may also exit the box in other select instances, such as after a swing or bunt attempt, a passed ball, a wild pitch or an inside pitch that forces him out of the box. Furthermore, he may exit the box if the pitcher or catcher vacates his respective position, a member of the defensive team requests time or attempts a play on a runner at any base, or an attempted check swing is appealed to a base umpire. Otherwise, the batter is expected to keep at least one foot inside the box throughout his time at bat.",batters-box
https://www.mlb.com/glossary/rules/batters-box,"If a batted ball that has not yet been touched by a fielder makes contact with a batter who still has two feet in the batter's box, the ball will be ruled foul. But if the batter has already exited the batter's box before being contacted by a fair ball that has not yet been touched by a fielder, the batter will be called out.",batters-box
https://www.mlb.com/glossary/rules/batting-out-of-turn,"If a team bats out of turn, the onus is not on the umpires to notify either team of the transgression. The consequences of batting out of turn vary depending on the timing of the appeal.",batting-out-of-turn
https://www.mlb.com/glossary/rules/batting-out-of-turn,"Appeal made during plate appearance: If the opposing team makes its appeal or the offensive team realizes its error before the incorrect batter's plate appearance has concluded, then the correct batter can take his place at bat while assuming the incorrect batter's count.",batting-out-of-turn
https://www.mlb.com/glossary/rules/batting-out-of-turn,"Appeal made following plate appearance but before next pitch or attempted play: If the appeal occurs between the conclusion of the incorrect batter's plate appearance but before the next pitch or attempted play, the correct batter is called out. Furthermore, any score or advancement caused by the incorrect batter batting a ball or reaching first base is nullified.",batting-out-of-turn
https://www.mlb.com/glossary/rules/batting-out-of-turn,"However, scores or advancements are counted if they occur as a result of a stolen base, balk, wild pitch or passed ball during the incorrect batter's plate appearance.",batting-out-of-turn
https://www.mlb.com/glossary/rules/batting-out-of-turn,"Appeal made following plate appearance and after next pitch or attempted play: If no appeal is made before the next pitch or attempted play following the conclusion of the incorrect batter's plate appearance, the incorrect batter is now considered to have batted in turn and all scores or advancements made during or as a result of his plate appearance are counted. The offensive team continues batting in its designated order from that point and places the skipped batter back into his original lineup spot the next time around.",batting-out-of-turn
https://www.mlb.com/glossary/rules/catcher-interference,The batter is awarded first base if the catcher (or any other fielder) interferes with him at any point during a pitch.,catcher-interference
https://www.mlb.com/glossary/rules/catcher-interference,"If first base was occupied at the time of the pitch, the runner who held the base is permitted to move up one base. This also applies if first and second base were occupied or the bases were loaded at the time of the pitch.",catcher-interference
https://www.mlb.com/glossary/rules/catcher-interference,"If first base had been empty at the time of the pitch, no additional runners are permitted to advance.",catcher-interference
https://www.mlb.com/glossary/rules/catcher-interference,"When catcher interference occurs, the umpire will allow the play to progress because the outcome of the play may be more desirable than the interference. In that case, the offensive manager can elect to accept the outcome of the play over the interference.",catcher-interference
https://www.mlb.com/glossary/rules/coach-interference,"If a base coach interferes with a thrown ball, the runner will be ruled out. But if a thrown ball accidentally touches the base coach, the ball is alive and in play. Coaches must respect the fielder's right of way to make a play on a batted or thrown ball.",coach-interference
https://www.mlb.com/glossary/rules/coach-interference,"Base coaches can also be called for interference if the umpire determines that they physically assisted a runner -- by grabbing or holding said runner -- from leaving or returning to first or third base. Moreover, base coaches are not permitted to leave their boxes and act in any manner intended to draw a throw by a fielder.",coach-interference
https://www.mlb.com/glossary/rules/collisions-at-home-plate,", the baserunner is not allowed to deviate from his direct path to initiate contact with the catcher (or any player covering the plate). Runners are considered to be in violation of this rule if they collide with the catcher in cases where a slide could have been used to avoid the collision. If the umpire determines that the runner violated this rule, the runner shall be ruled out and the ball is dead. The other runners must return to the last base they had touched at the time of the collision.",collisions-at-home-plate
https://www.mlb.com/glossary/rules/collisions-at-home-plate,The catcher is not permitted to block the runner's path to the plate unless he is in possession of the ball. The runner can be ruled safe if the umpire determines the catcher violated this rule.,collisions-at-home-plate
https://www.mlb.com/glossary/rules/collisions-at-home-plate,"However, blocking the path of the runner in a legitimate attempt to receive a throw is not considered a violation. Also, even if the catcher is blocking the plate without possessing the ball and not making a legitimate attempt to receive a throw, a violation shall not be called if:",collisions-at-home-plate
https://www.mlb.com/glossary/rules/collisions-at-home-plate,"When receiving a throw, catchers will often provide a sliding lane into home plate for the runner to lower the possibility that they will be called for violating the rule. Likewise, runners can lower their chances of being called for a violation by sliding in the given lane.",collisions-at-home-plate
https://www.mlb.com/glossary/rules/collisions-at-home-plate,"History of the rule: In an attempt to place greater emphasis on player safety, the rule was adopted for the 2014 season. The change was made partially in response to a May 2011 collision at home plate that saw star catcher Buster Posey suffer a season-ending ankle injury.",collisions-at-home-plate
https://www.mlb.com/glossary/rules/dead-ball,"A dead ball is a ball that is out of play. The ruling of a dead ball halts the game and no plays can legally occur until the umpire resumes the game, though baserunners can advance as the result of acts that occurred while the ball was live. Dead balls are frequent occurrences during a game, and the dead-ball period typically does not last long before the ball is put back into play.",dead-ball
https://www.mlb.com/glossary/rules/dead-ball,"Dead balls most frequently occur when a batted ball becomes a foul ball or a fair ball is hit out of the playing field. Other common instances in which the ball is ruled dead include a batter being hit by a pitch, a balk, an illegal collision at home plate, obstruction of a baserunner, interference with a fielder's right of way, spectator interference, a batter or runner being granted time out by the umpire and a fair batted ball striking an umpire or runner.",dead-ball
https://www.mlb.com/glossary/rules/dead-ball,"If a fair ball gets lodged in the outfield wall padding -- or the ivy, in the case of Wrigley Field -- it is a ground-rule double. On all ground-rule doubles, the ball is dead, the batter-runner goes to second and all additional runners are permitted to move up two bases from the one they occupied at the time of the pitch.",dead-ball
https://www.mlb.com/glossary/rules/defensive-shift-limits,"In September 2022, Major League Baseball announcedthat were approved by the league’s Competition committee. The rules were adopted after extensive testing at the Minor League level over a several-year period and with feedback from MLB player and umpire representatives.",defensive-shift-limits
https://www.mlb.com/glossary/rules/defensive-shift-limits,"One of those rule changes included placing the following limitations on defensive shifts, beginning in the 2023 season:",defensive-shift-limits
https://www.mlb.com/glossary/rules/defensive-shift-limits,This rule does not preclude a team from positioning an outfielder in the infield or in the shallow outfield grass in certain situations. But it does prohibit four-outfielder alignments.,defensive-shift-limits
https://www.mlb.com/glossary/rules/defensive-shift-limits,"Going into the 2025 season, MLB made a minor tweak to the penalty incurred for violations of this rule. Previously, if an infielder was caught violating the rule, the batting team had two options: accept the result of the play or have the hitter be awarded an automatic ball. Under the new rules, the batting team may accept the result of the play or the batter will be granted a free base (enabling any other runners to advance one base) if there is a violation and the violating player was the first to touch the ball in play.",defensive-shift-limits
https://www.mlb.com/glossary/rules/designated-hitter-rule,"The designated hitter rule allows teams to use another player to bat in place of the pitcher. Because the pitcher is still part of the team's nine defensive players, the designated hitter -- or ""DH"" -- does not take the field on defense.",designated-hitter-rule
https://www.mlb.com/glossary/rules/designated-hitter-rule,"The rule was adopted by the American League in 1973, while pitchers continued to hit in games played at National League parks. The designated hitter was adopted by the National League as part of the 2022-26 collective bargaining agreement.",designated-hitter-rule
https://www.mlb.com/glossary/rules/designated-hitter-rule,"The DH must be selected prior to the game, and that selected hitter must come to bat at least one time -- unless the opposing team changes pitchers prior to that point. A team that chooses not to select a DH prior to a game is barred from using a DH for the rest of that game. A player who enters the game in place of the DH -- either as a pinch-hitter or a pinch-runner -- becomes the DH in his team's lineup thereafter.",designated-hitter-rule
https://www.mlb.com/glossary/rules/designated-hitter-rule,"If a player serving as the DH is later used on defense, he continues to bat in his same lineup spot. But for the rest of the game, his team cannot use a DH to bat in place of the pitcher. A team is also barred from using a DH for the rest of the game if the pitcher moves from the mound to another defensive position, a player pinch-hits for any other player and then becomes the pitcher, or the current pitcher pinch-hits or pinch-runs for the DH.",designated-hitter-rule
https://www.mlb.com/glossary/rules/designated-hitter-rule,"The DH rule was amended prior to the 2022 season to afford additional flexibility to starting pitchers who bat for themselves. Such a player is considered two separate people for the purposes of the DH rule. If the player is replaced as the pitcher, he can continue as the DH, and if the DH is replaced, he can continue as the pitcher (but can no longer bat for himself).",designated-hitter-rule
https://www.mlb.com/glossary/rules/designated-hitter-rule,"History of the rule: The designated hitter rule was adopted by the AL in 1973. Prior to 2022, pitchers were required to bat in all NL games and Interleague games in which the NL team was the designated home team. A universal DH was also in place as a one-season exception in 2020, as part of health and safety protocols instituted during the COVID-19 pandemic.",designated-hitter-rule
https://www.mlb.com/glossary/rules/designated-hitter-rule,"The DH was not used in the World Series from 1973-75, then was used by both World Series teams during even-numbered years from '76-85. The practice of playing each game by the rules of the designated home team's league began in the 1986 World Series.",designated-hitter-rule
https://www.mlb.com/glossary/rules/designated-runner,All half-innings after the conclusion of the ninth inning begin with an automatic runner on second base. The rule applies only to regular-season games.,designated-runner
